Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-January-2022,1713.00,1733.65,1705.65,1715.65,1720.316380242759283739,83210,4934,143147526.00,11590,13.93,28.00,2.65
28-January-2022,1691.00,1743.20,1685.55,1694.70,1717.732610397152018582,79214,4969,136068471.00,8752,11.05,57.65,3.70
27-January-2022,1732.00,1732.00,1655.25,1684.75,1697.023477583342725673,204067,10315,346306490.00,75038,36.77,76.75,-47.25
25-January-2022,1682.00,1750.00,1676.65,1740.25,1724.636690906472748218,111112,8512,191627832.00,15937,14.34,73.35,58.25
24-January-2022,1812.00,1827.00,1697.85,1715.90,1753.804958062995158816,150583,13523,264093212.00,32265,21.43,129.15,-96.10
21-January-2022,1877.00,1877.00,1811.00,1828.65,1844.920250275662230427,77994,5623,143892710.00,8928,11.45,66.00,-48.35
20-January-2022,1864.00,1879.80,1844.90,1865.45,1859.286058589219986890,99165,3146,184376102.00,8160,8.23,34.90,1.45
19-January-2022,1842.00,1856.55,1811.80,1849.20,1833.936529076966297980,96107,6037,176254138.00,17232,17.93,44.75,7.20
18-January-2022,1883.70,1908.55,1830.65,1841.85,1878.848743987172634954,101034,6254,189827604.00,13831,13.69,77.90,-41.85
17-January-2022,1885.00,1900.90,1856.25,1877.20,1877.657196607000033794,177542,7481,333363014.00,26131,14.72,44.65,-7.80
14-January-2022,1855.00,1890.00,1830.70,1871.80,1865.826312820099501029,136481,8988,254649841.00,33915,24.85,59.30,16.80
13-January-2022,1839.00,1861.95,1808.95,1853.95,1840.805724992018282334,119022,5550,219096379.00,28783,24.18,53.00,14.95
12-January-2022,1883.00,1883.00,1809.35,1829.90,1837.880630045226018699,134657,7772,247483492.00,26852,19.94,73.65,-53.10
11-January-2022,1760.00,1850.00,1736.50,1843.85,1796.959038185242455012,237343,11775,426495649.00,39390,16.60,113.50,83.85
10-January-2022,1700.20,1766.65,1699.90,1751.50,1728.454973946509264664,92502,5801,159885542.00,38866,42.02,66.75,51.30
7-January-2022,1725.00,1730.00,1689.65,1700.20,1710.664389879097594416,40115,2785,68623302.00,6302,15.71,40.35,-24.80
6-January-2022,1707.00,1723.00,1676.85,1712.35,1692.905441627993870113,184669,6547,312627155.00,115243,62.41,46.15,5.35
5-January-2022,1725.00,1744.30,1704.00,1722.50,1722.543163789080727951,81434,3871,140273580.00,32167,39.50,40.30,-2.50
4-January-2022,1722.05,1727.95,1699.75,1718.65,1715.203614457831325301,34860,2242,59791998.00,7111,20.40,28.20,-3.40
3-January-2022,1710.00,1733.10,1710.00,1716.60,1720.400253998764330335,29134,2006,50122141.00,5705,19.58,23.10,6.60
